Epoch [1/250], Train Loss: 0.0630, Validation Loss: 0.0567 -- Model saved
Epoch [2/250], Train Loss: 0.0548, Validation Loss: 0.0536 -- Model saved
Epoch [3/250], Train Loss: 0.0544, Validation Loss: 0.0536
Epoch [4/250], Train Loss: 0.0539, Validation Loss: 0.0559
Epoch [5/250], Train Loss: 0.0526, Validation Loss: 0.0531 -- Model saved
Epoch [6/250], Train Loss: 0.0498, Validation Loss: 0.0490 -- Model saved
Epoch [7/250], Train Loss: 0.0482, Validation Loss: 0.0483 -- Model saved
Epoch [8/250], Train Loss: 0.0464, Validation Loss: 0.0457 -- Model saved
Epoch [9/250], Train Loss: 0.0454, Validation Loss: 0.0434 -- Model saved
Epoch [10/250], Train Loss: 0.0445, Validation Loss: 0.0432 -- Model saved
Epoch [11/250], Train Loss: 0.0440, Validation Loss: 0.0449
Epoch [12/250], Train Loss: 0.0440, Validation Loss: 0.0425 -- Model saved
Epoch [13/250], Train Loss: 0.0439, Validation Loss: 0.0436
Epoch [14/250], Train Loss: 0.0441, Validation Loss: 0.0411 -- Model saved
Epoch [15/250], Train Loss: 0.0439, Validation Loss: 0.0426
Epoch [16/250], Train Loss: 0.0440, Validation Loss: 0.0439
Epoch [17/250], Train Loss: 0.0440, Validation Loss: 0.0430
Epoch [18/250], Train Loss: 0.0438, Validation Loss: 0.0441
Epoch [19/250], Train Loss: 0.0437, Validation Loss: 0.0429
Epoch [20/250], Train Loss: 0.0437, Validation Loss: 0.0443
Epoch [21/250], Train Loss: 0.0437, Validation Loss: 0.0430
Epoch [22/250], Train Loss: 0.0438, Validation Loss: 0.0460
Epoch [23/250], Train Loss: 0.0437, Validation Loss: 0.0433
Epoch [24/250], Train Loss: 0.0437, Validation Loss: 0.0444
Epoch [25/250], Train Loss: 0.0436, Validation Loss: 0.0419
Epoch [26/250], Train Loss: 0.0436, Validation Loss: 0.0424
Epoch [27/250], Train Loss: 0.0437, Validation Loss: 0.0426
Epoch [28/250], Train Loss: 0.0436, Validation Loss: 0.0430
Epoch [29/250], Train Loss: 0.0435, Validation Loss: 0.0433
Epoch [30/250], Train Loss: 0.0434, Validation Loss: 0.0426
Epoch [31/250], Train Loss: 0.0434, Validation Loss: 0.0424
Epoch [32/250], Train Loss: 0.0428, Validation Loss: 0.0430
Epoch [33/250], Train Loss: 0.0427, Validation Loss: 0.0410 -- Model saved
Epoch [34/250], Train Loss: 0.0425, Validation Loss: 0.0405 -- Model saved
Epoch [35/250], Train Loss: 0.0425, Validation Loss: 0.0435
